"YMTGDP","ITMCDP","CLRCDP","ACT","FREE","KEEPS","LOWLIMIT","CONSUME","DELIVERY","PRODUCTION","PURCHES"
201209,1323394,580,0,0,0,0,0,0,0,0
201209,1351711,580,0,0,0,0,0,0,0,0
201209,1371593,30,0,0,0,0,0,0,0,0
201209,1371593,580,0,0,0,0,0,0,0,0
201209,1398500,580,18.2,0.2,0,0,0,0,0,0
201209,1401220,580,0,0,0,0,0,0,0,0
201209,1419109,580,15030.1,13930.1,0,0,7.6,0,0,10000
201209,1420200,580,0,0,0,0,0,400,0,0
201209,1440762,580,0,0,0,0,0,3,3,0
201209,1553859,30,0,0,0,0,1720,0,1720,0
201209,1553859,580,0,0,0,0,126000,0,126000,0
201209,1569060,30,0,0,0,0,0,0,0,0
201209,1569060,580,0,0,0,0,0,0,0,0
201209,1641071,580,0,0,0,0,0,0,0,0
201209,1892857,580,0,0,0,0,0,0,0,0
201210,2842,30,475.8,-36.6,0,0,346.5,0,871.6,0
201210,2842,580,8208,5223.3,0,0,1632.2,0,6318.5,0
201210,8110,30,15337.3,9602.3,1300,0,2325.8,0,13920,0
201210,8110,580,500313.9,20977,301743.9,0,347756.3,0,424130,1000
201210,9007,30,0,0,0,0,0,0,0,0
201210,9007,580,63990,190,0,0,0,127600,0,120000
201210,12222,30,1773.8,1773.8,0,0,0,0,0,0
201210,12222,580,10.7,4,78.9,0,715.5,0,0,600
201210,13976,30,0,0,0,0,0,0,0,0
201210,13976,580,353.6,22.5,0,0,80,0,444,0
201210,21192,580,166.5,166.5,0,0,0,1,0,0
201210,42875,580,0,0,0,0,0,200,0,0
201210,236228,580,40.9,0.9,0,0,0,0,0,0
201210,267001,30,449.7,124.4,0,0,0,0,0,0
201210,267001,580,66775.9,50379.4,0,0,34853,0,0,0
201210,345189,580,5800,2000,3600,0,0,800,0,0
201210,403025,30,0,0,0,0,0,0,0,0
201210,403025,580,2600,0,0,0,0,2800,4000,0
201210,410123,580,0,0,0,0,0,0,0,0
201210,1043617,30,0,0,0,0,0,1,1,0
201210,1043617,580,1193,0,0,0,0,2204,1303,0
